client_message,document_requested,document_received,document_correct,follow_up_needed,intent,client_sentiment,channel,message_length,has_question
"Bank won't give statement, what now?",P60,True,True,True,document_submission,Confused,Phone,6,True
Is this urgent?,Pension Statement,True,True,False,document_submission,Helpful,SMS,3,True
I can't find my pension statement,Driving Licence,True,True,False,document_submission,Helpful,WhatsApp,6,False
I'm not sure what documents I need,Driving Licence,True,True,True,document_submission,Helpful,SMS,7,False
I've attached my bank statement,Council Tax,True,True,True,document_submission,Helpful,WhatsApp,5,False
I can't find my pension statement,Pension Statement,True,False,False,document_submission,Frustrated,Phone,6,False
Does the utility bill need to be in my name?,Pension Statement,False,True,False,document_clarification,Neutral,Phone,10,True
I've attached my bank statement,Driving Licence,True,True,True,document_submission,Frustrated,Phone,5,False
"I found my P60 from 2023, will that work?",Passport,False,False,False,document_clarification,Frustrated,SMS,9,True
Does the utility bill need to be in my name?,Pension Statement,True,True,False,document_submission,Neutral,Phone,10,True
Is this urgent?,Driving Licence,False,True,False,document_clarification,Frustrated,SMS,3,True
Documents requested - I've scanned them,Council Tax,True,True,False,document_submission,Neutral,Phone,6,False
"My driving licence is expired, is that ok?",Pension Statement,False,True,False,document_clarification,Neutral,SMS,8,True
Do you need all of these?,Driving Licence,False,True,False,document_clarification,Helpful,WhatsApp,6,True
I don't have a recent payslip,Investment Statement,False,False,True,document_clarification,Neutral,Phone,6,False
How do I prove address?,Utility Bill,True,True,False,document_submission,Neutral,WhatsApp,5,True
How do I prove address?,Utility Bill,True,True,False,document_submission,Frustrated,WhatsApp,5,True
Hope this is everything,Mortgage Statement,True,True,False,document_submission,Neutral,Phone,4,False
Can you remind me what you need?,P60,True,True,True,document_submission,Neutral,SMS,7,True
I don't have a recent payslip,Council Tax,True,True,False,document_submission,Confused,SMS,6,False
I've attached my bank statement,Driving Licence,True,True,False,document_submission,Helpful,WhatsApp,5,False
Does the utility bill need to be in my name?,Council Tax,True,True,True,document_submission,Neutral,SMS,10,True
Does the utility bill need to be in my name?,Mortgage Statement,True,True,False,document_submission,Neutral,WhatsApp,10,True
I've sent everything,Passport,True,True,True,document_submission,Frustrated,SMS,3,False
I'm not sure what documents I need,Council Tax,False,True,False,document_clarification,Confused,Phone,7,False
I'm not sure what documents I need,Investment Statement,False,False,False,document_clarification,Confused,WhatsApp,7,False
"I found my P60 from 2023, will that work?",P60,True,True,False,document_submission,Frustrated,Phone,9,True
"My driving licence is expired, is that ok?",Bank Statement,True,True,False,document_submission,Frustrated,Phone,8,True
Can you remind me what you need?,Driving Licence,True,True,True,document_submission,Neutral,SMS,7,True
I don't have a recent payslip,Passport,True,False,False,document_submission,Neutral,Phone,6,False
I don't have a recent payslip,Pension Statement,True,True,False,document_submission,Confused,Phone,6,False
Can you remind me what you need?,Driving Licence,False,True,False,document_clarification,Neutral,WhatsApp,7,True
"Sorry, I've been busy",Investment Statement,True,True,False,document_submission,Neutral,WhatsApp,4,False
"I found my P60 from 2023, will that work?",Mortgage Statement,False,True,False,document_clarification,Frustrated,Phone,9,True
I don't have a recent payslip,Utility Bill,True,True,False,document_submission,Neutral,WhatsApp,6,False
Still need documents?,Pension Statement,True,True,True,document_submission,Confused,SMS,3,True
Documents requested - I've scanned them,Payslip,True,True,False,document_submission,Helpful,Phone,6,False
Documents requested - I've scanned them,P60,True,True,False,document_submission,Helpful,Phone,6,False
"Sorry, I've been busy",Passport,True,True,True,document_submission,Neutral,SMS,4,False
Can you remind me what you need?,Bank Statement,True,True,True,document_submission,Frustrated,Phone,7,True
How do I prove address?,Council Tax,False,True,False,document_clarification,Neutral,WhatsApp,5,True
Hope this is everything,Driving Licence,True,False,True,document_submission,Helpful,Email,4,False
Hope this is everything,Passport,True,True,False,document_submission,Neutral,Phone,4,False
I don't have a recent payslip,Council Tax,True,True,True,document_submission,Helpful,WhatsApp,6,False
I've lost some documents,Driving Licence,True,True,True,document_submission,Confused,WhatsApp,4,False
