conversation_id,client_id,date,document_requested,client_message,advisor_response,document_received,document_correct,follow_up_needed,sentiment_client,communication_channel
CONV_00001,CLI_0047,2025-11-26T16:33:51.469722,P60,"Bank won't give statement, what now?","Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",True,True,True,Confused,Phone
CONV_00002,CLI_0032,2025-12-17T16:33:51.470011,Pension Statement,Is this urgent?,Council tax or utility bill works equally well.,True,True,False,Helpful,SMS
CONV_00003,CLI_0048,2026-01-25T16:33:51.470279,Driving Licence,I can't find my pension statement,Excellent! Got all documents. Let me review.,True,True,False,Helpful,WhatsApp
CONV_00004,CLI_0029,2026-01-30T16:33:51.470589,Driving Licence,I'm not sure what documents I need,Just send new licence - no need for both.,True,True,True,Helpful,SMS
CONV_00005,CLI_0012,2026-01-27T16:33:51.470865,Council Tax,I've attached my bank statement,2023 P60 too old. Need 2024 or 2025.,True,True,True,Helpful,WhatsApp
CONV_00006,CLI_0022,2025-11-12T16:33:51.471173,Pension Statement,I can't find my pension statement,Absolutely! WhatsApp is fine.,True,False,False,Frustrated,Phone
CONV_00007,CLI_0009,2025-11-27T16:33:51.471343,Pension Statement,Does the utility bill need to be in my name?,Excellent! Got all documents. Let me review.,False,True,False,Neutral,Phone
CONV_00008,CLI_0029,2025-11-06T16:33:51.471536,Driving Licence,I've attached my bank statement,I see passport and utility bill. Just need payslip.,True,True,True,Frustrated,Phone
CONV_00009,CLI_0034,2025-12-26T16:33:51.471630,Passport,"I found my P60 from 2023, will that work?",Utility bill is perfect - within 3 months.,False,False,False,Frustrated,SMS
CONV_00010,CLI_0006,2026-01-20T16:33:51.471742,Pension Statement,Does the utility bill need to be in my name?,Excellent! Got all documents. Let me review.,True,True,False,Neutral,Phone
CONV_00011,CLI_0046,2025-12-09T16:33:51.471823,Driving Licence,Is this urgent?,"Thanks! For fact-find we need: (1) Proof of ID, (2) Proof of address, (3) Recent payslip or P60",False,True,False,Frustrated,SMS
CONV_00012,CLI_0040,2025-12-04T16:33:51.471907,Council Tax,Documents requested - I've scanned them,No rush! Whenever suits you.,True,True,False,Neutral,Phone
CONV_00013,CLI_0005,2025-12-30T16:33:51.471986,Pension Statement,"My driving licence is expired, is that ok?",Just send new licence - no need for both.,False,True,False,Neutral,SMS
CONV_00014,CLI_0045,2025-11-20T16:33:51.472065,Driving Licence,Do you need all of these?,Happy to clarify! I'll email checklist.,False,True,False,Helpful,WhatsApp
CONV_00015,CLI_0042,2025-12-24T16:33:51.472235,Investment Statement,I don't have a recent payslip,No problem. P60 from last year works fine if no recent payslip.,False,False,True,Neutral,Phone
CONV_00016,CLI_0012,2025-12-19T16:33:51.472318,Utility Bill,How do I prove address?,Perfect! They uploaded successfully.,True,True,False,Neutral,WhatsApp
CONV_00017,CLI_0024,2026-01-24T16:33:51.472591,Utility Bill,How do I prove address?,"Perfect, thanks for bank statement.",True,True,False,Frustrated,WhatsApp
CONV_00018,CLI_0015,2026-01-06T16:33:51.473001,Mortgage Statement,Hope this is everything,Don't worry - we can request from provider.,True,True,False,Neutral,Phone
CONV_00019,CLI_0007,2026-01-25T16:33:51.473265,P60,Can you remind me what you need?,Thanks for sending these.,True,True,True,Neutral,SMS
CONV_00020,CLI_0030,2025-12-24T16:33:51.473660,Council Tax,I don't have a recent payslip,All looks great!,True,True,False,Confused,SMS
CONV_00021,CLI_0044,2026-01-29T16:33:51.473944,Driving Licence,I've attached my bank statement,I see passport and utility bill. Just need payslip.,True,True,False,Helpful,WhatsApp
CONV_00022,CLI_0049,2025-11-07T16:33:51.474209,Council Tax,Does the utility bill need to be in my name?,All looks great!,True,True,True,Neutral,SMS
CONV_00023,CLI_0035,2025-12-29T16:33:51.474472,Mortgage Statement,Does the utility bill need to be in my name?,Use passport plus employer letter for overseas.,True,True,False,Neutral,WhatsApp
CONV_00024,CLI_0029,2025-12-01T16:33:51.474753,Passport,I've sent everything,Council tax or utility bill works equally well.,True,True,True,Frustrated,SMS
CONV_00025,CLI_0039,2026-01-27T16:33:51.475019,Council Tax,I'm not sure what documents I need,Perfect! They uploaded successfully.,False,True,False,Confused,Phone
CONV_00026,CLI_0037,2025-12-15T16:33:51.475282,Investment Statement,I'm not sure what documents I need,Absolutely! WhatsApp is fine.,False,False,False,Confused,WhatsApp
CONV_00027,CLI_0037,2025-12-20T16:33:51.475543,P60,"I found my P60 from 2023, will that work?",Excellent! Got all documents. Let me review.,True,True,False,Frustrated,Phone
CONV_00028,CLI_0025,2025-12-11T16:33:51.475827,Bank Statement,"My driving licence is expired, is that ok?",No rush! Whenever suits you.,True,True,False,Frustrated,Phone
CONV_00029,CLI_0010,2025-12-06T16:33:51.476096,Driving Licence,Can you remind me what you need?,Perfect! They uploaded successfully.,True,True,True,Neutral,SMS
CONV_00030,CLI_0023,2026-01-23T16:33:51.476384,Passport,I don't have a recent payslip,All set! Ready for advice meeting.,True,False,False,Neutral,Phone
CONV_00031,CLI_0017,2026-01-29T16:33:51.476661,Pension Statement,I don't have a recent payslip,2023 P60 too old. Need 2024 or 2025.,True,True,False,Confused,Phone
CONV_00032,CLI_0037,2026-01-21T16:33:51.476926,Driving Licence,Can you remind me what you need?,No problem. P60 from last year works fine if no recent payslip.,False,True,False,Neutral,WhatsApp
CONV_00033,CLI_0042,2025-11-14T16:33:51.477187,Investment Statement,"Sorry, I've been busy","Perfect, thanks for bank statement.",True,True,False,Neutral,WhatsApp
CONV_00034,CLI_0005,2026-01-14T16:33:51.477448,Mortgage Statement,"I found my P60 from 2023, will that work?","Perfect, thanks for bank statement.",False,True,False,Frustrated,Phone
CONV_00035,CLI_0040,2025-12-05T16:33:51.477729,Utility Bill,I don't have a recent payslip,No rush! Whenever suits you.,True,True,False,Neutral,WhatsApp
CONV_00036,CLI_0019,2025-12-04T16:33:51.477998,Pension Statement,Still need documents?,Happy to clarify! I'll email checklist.,True,True,True,Confused,SMS
CONV_00037,CLI_0027,2025-12-03T16:33:51.478260,Payslip,Documents requested - I've scanned them,"Perfect, thanks for bank statement.",True,True,False,Helpful,Phone
CONV_00038,CLI_0010,2026-01-02T16:33:51.478524,P60,Documents requested - I've scanned them,All looks great!,True,True,False,Helpful,Phone
CONV_00039,CLI_0032,2026-01-15T16:33:51.478804,Passport,"Sorry, I've been busy",Great! I see your passport and utility bill. Still waiting on P60.,True,True,True,Neutral,SMS
CONV_00040,CLI_0030,2025-11-19T16:33:51.479065,Bank Statement,Can you remind me what you need?,Great! I see your passport and utility bill. Still waiting on P60.,True,True,True,Frustrated,Phone
CONV_00041,CLI_0004,2025-11-25T16:33:51.479327,Council Tax,How do I prove address?,Utility bill is perfect - within 3 months.,False,True,False,Neutral,WhatsApp
CONV_00042,CLI_0018,2026-01-18T16:33:51.479591,Driving Licence,Hope this is everything,Utility bill is perfect - within 3 months.,True,False,True,Helpful,Email
